GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [lush-bear] ===
Device: cuda
Batch size: 4
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220126_small_lush-bear/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220126_base_lush-bear/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b4/run_20260528_220127_large_lush-bear/metrics.jsonl

   base: loss 7.0674 | acc 0.004 | lr 2.98e-04 | gn 0.64
  large: loss 7.0718 | acc 0.006 | lr 2.98e-04 | gn 0.72
step     105 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1349 | acc 0.003 | lr 2.98e-04 | gn 0.52
   base: loss 7.0874 | acc 0.004 | lr 2.98e-04 | gn 0.66
  large: loss 7.0854 | acc 0.007 | lr 2.98e-04 | gn 0.73
step     110 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1307 | acc 0.006 | lr 2.97e-04 | gn 0.61
   base: loss 7.0813 | acc 0.008 | lr 2.97e-04 | gn 0.76
  large: loss 7.0751 | acc 0.008 | lr 2.97e-04 | gn 0.84
step     115 | 42 g/s | 0.10s | active: small, base, large
  small: loss 7.1579 | acc 0.004 | lr 2.97e-04 | gn 0.48
   base: loss 7.1213 | acc 0.005 | lr 2.97e-04 | gn 0.61
  large: loss 7.1218 | acc 0.005 | lr 2.97e-04 | gn 0.68
step     120 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1211 | acc 0.005 | lr 2.96e-04 | gn 0.48
   base: loss 7.0913 | acc 0.007 | lr 2.96e-04 | gn 0.65
  large: loss 7.0875 | acc 0.003 | lr 2.96e-04 | gn 0.72
step     125 | 41 g/s | 0.10s | active: small, base, large
  small: loss 7.0515 | acc 0.004 | lr 2.96e-04 | gn 0.46
   base: loss 7.0225 | acc 0.004 | lr 2.96e-04 | gn 0.63
  large: loss 7.0151 | acc 0.006 | lr 2.96e-04 | gn 0.70
step     130 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0965 | acc 0.004 | lr 2.95e-04 | gn 0.48
   base: loss 7.0665 | acc 0.004 | lr 2.95e-04 | gn 0.67
  large: loss 7.0686 | acc 0.004 | lr 2.95e-04 | gn 0.74
step     135 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1231 | acc 0.007 | lr 2.95e-04 | gn 0.53
   base: loss 7.0988 | acc 0.006 | lr 2.95e-04 | gn 0.73
  large: loss 7.0957 | acc 0.004 | lr 2.95e-04 | gn 0.81
step     140 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1428 | acc 0.004 | lr 2.94e-04 | gn 0.48
   base: loss 7.1186 | acc 0.006 | lr 2.94e-04 | gn 0.66
  large: loss 7.1216 | acc 0.006 | lr 2.94e-04 | gn 0.74
step     145 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0186 | acc 0.005 | lr 2.93e-04 | gn 0.50
   base: loss 6.9996 | acc 0.003 | lr 2.93e-04 | gn 0.67
  large: loss 7.0063 | acc 0.005 | lr 2.93e-04 | gn 0.74
step     150 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.2282 | acc 0.004 | lr 2.93e-04 | gn 0.49
   base: loss 7.2172 | acc 0.004 | lr 2.93e-04 | gn 0.66
  large: loss 7.2198 | acc 0.005 | lr 2.93e-04 | gn 0.73
step     155 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1652 | acc 0.007 | lr 2.92e-04 | gn 0.58
   base: loss 7.1487 | acc 0.005 | lr 2.92e-04 | gn 0.78
  large: loss 7.1495 | acc 0.005 | lr 2.92e-04 | gn 0.86
step     160 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1078 | acc 0.003 | lr 2.91e-04 | gn 0.48
   base: loss 7.0868 | acc 0.005 | lr 2.91e-04 | gn 0.65
  large: loss 7.0842 | acc 0.006 | lr 2.91e-04 | gn 0.72
step     165 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0794 | acc 0.005 | lr 2.90e-04 | gn 0.50
   base: loss 7.0651 | acc 0.006 | lr 2.90e-04 | gn 0.68
  large: loss 7.0730 | acc 0.006 | lr 2.90e-04 | gn 0.76
step     170 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1037 | acc 0.005 | lr 2.90e-04 | gn 0.50
   base: loss 7.0924 | acc 0.006 | lr 2.90e-04 | gn 0.67
  large: loss 7.0990 | acc 0.005 | lr 2.90e-04 | gn 0.75
step     175 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9886 | acc 0.005 | lr 2.89e-04 | gn 0.49
   base: loss 6.9711 | acc 0.006 | lr 2.89e-04 | gn 0.68
  large: loss 6.9766 | acc 0.006 | lr 2.89e-04 | gn 0.77
step     180 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1080 | acc 0.003 | lr 2.88e-04 | gn 0.42
   base: loss 7.0992 | acc 0.005 | lr 2.88e-04 | gn 0.59
  large: loss 7.1047 | acc 0.004 | lr 2.88e-04 | gn 0.66
step     185 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0447 | acc 0.007 | lr 2.87e-04 | gn 0.52
   base: loss 7.0355 | acc 0.003 | lr 2.87e-04 | gn 0.71
  large: loss 7.0331 | acc 0.004 | lr 2.87e-04 | gn 0.79
step     190 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0632 | acc 0.005 | lr 2.86e-04 | gn 0.53
   base: loss 7.0523 | acc 0.005 | lr 2.86e-04 | gn 0.71
  large: loss 7.0616 | acc 0.006 | lr 2.86e-04 | gn 0.81
step     195 | 43 g/s | 0.09s | active: small, base, large
  small: loss 6.9704 | acc 0.006 | lr 2.85e-04 | gn 0.56
   base: loss 6.9541 | acc 0.006 | lr 2.85e-04 | gn 0.71
  large: loss 6.9489 | acc 0.006 | lr 2.85e-04 | gn 0.80
step     200 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0587 | acc 0.005 | lr 2.84e-04 | gn 0.46
   base: loss 7.0503 | acc 0.005 | lr 2.84e-04 | gn 0.64
  large: loss 7.0485 | acc 0.005 | lr 2.84e-04 | gn 0.74
step     205 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1447 | acc 0.004 | lr 2.83e-04 | gn 0.54
   base: loss 7.1375 | acc 0.006 | lr 2.83e-04 | gn 0.73
  large: loss 7.1229 | acc 0.005 | lr 2.83e-04 | gn 0.83
step     210 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0831 | acc 0.006 | lr 2.82e-04 | gn 0.49
   base: loss 7.0806 | acc 0.004 | lr 2.82e-04 | gn 0.66
  large: loss 7.0677 | acc 0.004 | lr 2.82e-04 | gn 0.78
step     215 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0922 | acc 0.005 | lr 2.80e-04 | gn 0.43
   base: loss 7.0892 | acc 0.005 | lr 2.80e-04 | gn 0.61
  large: loss 7.0645 | acc 0.007 | lr 2.80e-04 | gn 0.70
step     220 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.0287 | acc 0.004 | lr 2.79e-04 | gn 0.45
   base: loss 7.0135 | acc 0.003 | lr 2.79e-04 | gn 0.62
  large: loss 6.9973 | acc 0.004 | lr 2.79e-04 | gn 0.71
step     225 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.0411 | acc 0.005 | lr 2.78e-04 | gn 0.48
   base: loss 7.0347 | acc 0.005 | lr 2.78e-04 | gn 0.66
  large: loss 7.0119 | acc 0.005 | lr 2.78e-04 | gn 0.77
step     230 | 43 g/s | 0.09s | active: small, base, large
  small: loss 7.1371 | acc 0.005 | lr 2.77e-04 | gn 0.48
   base: loss 7.1189 | acc 0.005 | lr 2.77e-04 | gn 0.66
  large: loss 7.0948 | acc 0.006 | lr 2.77e-04 | gn 0.76
step     235 | 44 g/s | 0.09s | active: small, base, large
  small: loss 7.1083 | acc 0.003 | lr 2.76e-04 | gn 0.42
   base: loss 7.1050 | acc 0.006 | lr 2.76e-04 | gn 0.59
