GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [vast-owl] ===
Device: cuda
Batch size: 8
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_small_vast-owl/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_base_vast-owl/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b8/run_20260528_220822_large_vast-owl/metrics.jsonl

   base: loss 7.0682 | acc 0.004 | lr 2.98e-04 | gn 0.44
  large: loss 7.0720 | acc 0.004 | lr 2.98e-04 | gn 0.49
step     105 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0857 | acc 0.005 | lr 2.98e-04 | gn 0.32
   base: loss 7.0495 | acc 0.007 | lr 2.98e-04 | gn 0.45
  large: loss 7.0527 | acc 0.005 | lr 2.98e-04 | gn 0.49
step     110 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.0748 | acc 0.006 | lr 2.97e-04 | gn 0.35
   base: loss 7.0501 | acc 0.005 | lr 2.97e-04 | gn 0.50
  large: loss 7.0508 | acc 0.005 | lr 2.97e-04 | gn 0.56
step     115 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1046 | acc 0.005 | lr 2.97e-04 | gn 0.32
   base: loss 7.0795 | acc 0.005 | lr 2.97e-04 | gn 0.46
  large: loss 7.0813 | acc 0.005 | lr 2.97e-04 | gn 0.51
step     120 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.1010 | acc 0.005 | lr 2.96e-04 | gn 0.35
   base: loss 7.0704 | acc 0.007 | lr 2.96e-04 | gn 0.49
  large: loss 7.0788 | acc 0.009 | lr 2.96e-04 | gn 0.55
step     125 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0764 | acc 0.003 | lr 2.96e-04 | gn 0.32
   base: loss 7.0425 | acc 0.004 | lr 2.96e-04 | gn 0.45
  large: loss 7.0510 | acc 0.004 | lr 2.96e-04 | gn 0.50
step     130 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0741 | acc 0.004 | lr 2.95e-04 | gn 0.36
   base: loss 7.0557 | acc 0.004 | lr 2.95e-04 | gn 0.50
  large: loss 7.0675 | acc 0.003 | lr 2.95e-04 | gn 0.56
step     135 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0748 | acc 0.005 | lr 2.95e-04 | gn 0.38
   base: loss 7.0592 | acc 0.008 | lr 2.95e-04 | gn 0.53
  large: loss 7.0599 | acc 0.006 | lr 2.95e-04 | gn 0.59
step     140 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0808 | acc 0.004 | lr 2.94e-04 | gn 0.32
   base: loss 7.0538 | acc 0.007 | lr 2.94e-04 | gn 0.47
  large: loss 7.0635 | acc 0.007 | lr 2.94e-04 | gn 0.50
step     145 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0667 | acc 0.004 | lr 2.93e-04 | gn 0.32
   base: loss 7.0373 | acc 0.004 | lr 2.93e-04 | gn 0.45
  large: loss 7.0495 | acc 0.005 | lr 2.93e-04 | gn 0.50
step     150 | 57 g/s | 0.14s | active: small, base, large
  small: loss 7.0949 | acc 0.006 | lr 2.93e-04 | gn 0.34
   base: loss 7.0658 | acc 0.008 | lr 2.93e-04 | gn 0.51
  large: loss 7.0682 | acc 0.006 | lr 2.93e-04 | gn 0.52
step     155 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0899 | acc 0.005 | lr 2.92e-04 | gn 0.32
   base: loss 7.0487 | acc 0.006 | lr 2.92e-04 | gn 0.45
  large: loss 7.0589 | acc 0.005 | lr 2.92e-04 | gn 0.50
step     160 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0427 | acc 0.005 | lr 2.91e-04 | gn 0.34
   base: loss 7.0085 | acc 0.006 | lr 2.91e-04 | gn 0.49
  large: loss 7.0174 | acc 0.006 | lr 2.91e-04 | gn 0.54
step     165 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0601 | acc 0.003 | lr 2.90e-04 | gn 0.37
   base: loss 7.0158 | acc 0.005 | lr 2.90e-04 | gn 0.52
  large: loss 7.0333 | acc 0.006 | lr 2.90e-04 | gn 0.59
step     170 | 56 g/s | 0.14s | active: small, base, large
  small: loss 7.0378 | acc 0.005 | lr 2.90e-04 | gn 0.34
   base: loss 6.9920 | acc 0.004 | lr 2.90e-04 | gn 0.48
  large: loss 7.0018 | acc 0.006 | lr 2.90e-04 | gn 0.54
